pdb	scenario	struct	model_flexref	fnat_flex	model_rigidbody	fnat_rigid	fnat_diff
8en2D	loose	b	flexref_133.pdb	0.667	rigidbody_901.pdb	0.692	-0.025
8en2D	loose	b	flexref_156.pdb	0.769	rigidbody_31.pdb	0.564	0.205
8en2D	loose	b	flexref_176.pdb	0.744	rigidbody_30.pdb	0.564	0.180
8en2D	loose	b	flexref_184.pdb	0.692	rigidbody_819.pdb	0.692	0.000
8en2D	loose	b	flexref_16.pdb	0.487	rigidbody_476.pdb	0.308	0.179
8en2D	loose	b	flexref_26.pdb	0.692	rigidbody_893.pdb	0.718	-0.026
8en2D	loose	b	flexref_47.pdb	0.692	rigidbody_842.pdb	0.692	0.000
8en2D	loose	b	flexref_181.pdb	0.538	rigidbody_584.pdb	0.410	0.128
8en2D	loose	b	flexref_161.pdb	0.744	rigidbody_891.pdb	0.692	0.052
8en2D	loose	b	flexref_84.pdb	0.538	rigidbody_95.pdb	0.615	-0.077
8en2D	loose	b	flexref_74.pdb	0.590	rigidbody_959.pdb	0.513	0.077
8en2D	loose	b	flexref_113.pdb	0.615	rigidbody_968.pdb	0.538	0.077
8en2D	loose	b	flexref_117.pdb	0.615	rigidbody_51.pdb	0.590	0.025
8en2D	loose	b	flexref_171.pdb	0.667	rigidbody_994.pdb	0.692	-0.025
8en2D	loose	b	flexref_10.pdb	0.487	rigidbody_844.pdb	0.692	-0.205
8en2D	loose	b	flexref_116.pdb	0.462	rigidbody_26.pdb	0.538	-0.076
8en2D	twohit	b	flexref_93.pdb	0.692	rigidbody_932.pdb	0.692	0.000
8en2D	twohit	b	flexref_39.pdb	0.667	rigidbody_838.pdb	0.718	-0.051
8en2D	twohit	b	flexref_68.pdb	0.718	rigidbody_885.pdb	0.487	0.231
8en2D	twohit	b	flexref_45.pdb	0.462	rigidbody_527.pdb	0.359	0.103
8en2D	twohit	b	flexref_105.pdb	0.615	rigidbody_908.pdb	0.667	-0.052
8en2D	twohit	b	flexref_59.pdb	0.692	rigidbody_827.pdb	0.692	0.000
8en2D	twohit	b	flexref_24.pdb	0.564	rigidbody_829.pdb	0.308	0.256
8en2D	twohit	b	flexref_17.pdb	0.641	rigidbody_900.pdb	0.487	0.154
8en2D	twohit	b	flexref_53.pdb	0.538	rigidbody_1.pdb	0.410	0.128
8en2D	twohit	b	flexref_10.pdb	0.513	rigidbody_977.pdb	0.615	-0.102
8en2D	twohit	b	flexref_11.pdb	0.667	rigidbody_866.pdb	0.667	0.000
8en2D	twohit	b	flexref_135.pdb	0.538	rigidbody_552.pdb	0.359	0.179
8en2D	twohit	b	flexref_57.pdb	0.718	rigidbody_134.pdb	0.590	0.128
8en2D	twohit	b	flexref_8.pdb	0.667	rigidbody_865.pdb	0.692	-0.025
8en2D	twohit	b	flexref_189.pdb	0.667	rigidbody_909.pdb	0.462	0.205
8en2D	twohit	b	flexref_72.pdb	0.282	rigidbody_893.pdb	0.256	0.026
8en2D	twohit	b	flexref_161.pdb	0.333	rigidbody_582.pdb	0.359	-0.026
8en2D	twohit	b	flexref_70.pdb	0.282	rigidbody_172.pdb	0.231	0.051
8en2D	twohit	b	flexref_22.pdb	0.564	rigidbody_860.pdb	0.667	-0.103
8en2D	twohit	b	flexref_177.pdb	0.154	rigidbody_94.pdb	0.077	0.077
8en2D	twohit	b	flexref_55.pdb	0.487	rigidbody_592.pdb	0.436	0.051
8en2D	twohit	b	flexref_152.pdb	0.282	rigidbody_36.pdb	0.410	-0.128
8en2D	real	b	flexref_43.pdb	0.282	rigidbody_353.pdb	0.256	0.026
8en2D	real	b	flexref_35.pdb	0.282	rigidbody_265.pdb	0.256	0.026
8en2D	real	b	flexref_140.pdb	0.308	rigidbody_357.pdb	0.256	0.052
8en2D	real	b	flexref_168.pdb	0.359	rigidbody_273.pdb	0.256	0.103
8en2D	real	b	flexref_178.pdb	0.282	rigidbody_247.pdb	0.256	0.026
8en2D	real	b	flexref_139.pdb	0.256	rigidbody_370.pdb	0.256	0.000
8en2D	real	b	flexref_58.pdb	0.308	rigidbody_340.pdb	0.256	0.052
8en2D	real	b	flexref_86.pdb	0.744	rigidbody_54.pdb	0.564	0.180
8en2D	real	b	flexref_75.pdb	0.821	rigidbody_452.pdb	0.769	0.052
8en2D	real	b	flexref_77.pdb	0.308	rigidbody_263.pdb	0.256	0.052
8en2D	real	b	flexref_184.pdb	0.821	rigidbody_451.pdb	0.821	0.000
8en2D	real	b	flexref_114.pdb	0.538	rigidbody_105.pdb	0.436	0.102
8en2D	real	b	flexref_68.pdb	0.308	rigidbody_213.pdb	0.256	0.052
8en2D	real	b	flexref_79.pdb	0.333	rigidbody_249.pdb	0.256	0.077
8en2D	real	b	flexref_144.pdb	0.385	rigidbody_298.pdb	0.333	0.052
8en2D	real	b	flexref_167.pdb	0.308	rigidbody_242.pdb	0.256	0.052
8en2D	real	b	flexref_124.pdb	0.282	rigidbody_278.pdb	0.256	0.026
8en2D	real	b	flexref_170.pdb	0.923	rigidbody_524.pdb	0.821	0.102
8en2D	real	b	flexref_128.pdb	0.872	rigidbody_423.pdb	0.795	0.077
8en2D	real	b	flexref_135.pdb	0.872	rigidbody_413.pdb	0.821	0.051
8en2D	real	b	flexref_83.pdb	0.744	rigidbody_858.pdb	0.692	0.052
8en2D	real	b	flexref_156.pdb	0.872	rigidbody_504.pdb	0.795	0.077
8en2D	real	b	flexref_150.pdb	0.795	rigidbody_501.pdb	0.821	-0.026
8en2D	real	b	flexref_26.pdb	0.231	rigidbody_395.pdb	0.256	-0.025
8en2D	real	b	flexref_119.pdb	0.872	rigidbody_589.pdb	0.821	0.051
8en2D	real	b	flexref_195.pdb	0.949	rigidbody_507.pdb	0.846	0.103
8en2D	real	b	flexref_162.pdb	0.795	rigidbody_949.pdb	0.692	0.103
8en2D	real	b	flexref_104.pdb	0.333	rigidbody_399.pdb	0.256	0.077
8en2D	real	b	flexref_133.pdb	0.897	rigidbody_574.pdb	0.795	0.102
8en2D	real	b	flexref_148.pdb	1.000	rigidbody_408.pdb	0.846	0.154
8en2D	real	b	flexref_136.pdb	0.718	rigidbody_897.pdb	0.744	-0.026
8en2D	real	b	flexref_24.pdb	0.436	rigidbody_304.pdb	0.333	0.103
8en2D	real	b	flexref_187.pdb	0.821	rigidbody_6.pdb	0.667	0.154
8en2D	real	b	flexref_48.pdb	0.333	rigidbody_219.pdb	0.256	0.077
8en2D	real	b	flexref_73.pdb	0.308	rigidbody_379.pdb	0.256	0.052
8en2D	real	b	flexref_116.pdb	0.795	rigidbody_528.pdb	0.846	-0.051
8en2D	real	b	flexref_17.pdb	0.205	rigidbody_275.pdb	0.256	-0.051
8en2D	real	b	flexref_49.pdb	0.333	rigidbody_269.pdb	0.256	0.077
8en2D	real	b	flexref_21.pdb	0.231	rigidbody_253.pdb	0.256	-0.025
8en2D	real	b	flexref_41.pdb	0.385	rigidbody_322.pdb	0.333	0.052
8en2D	real	b	flexref_179.pdb	0.872	rigidbody_491.pdb	0.846	0.026
8en2D	real	b	flexref_57.pdb	0.333	rigidbody_286.pdb	0.256	0.077
8en2D	real	b	flexref_137.pdb	0.897	rigidbody_596.pdb	0.795	0.102
8en2D	real	b	flexref_132.pdb	0.615	rigidbody_866.pdb	0.538	0.077
8en2D	real	b	flexref_169.pdb	0.410	rigidbody_307.pdb	0.359	0.051
8en2D	real	b	flexref_42.pdb	0.308	rigidbody_387.pdb	0.256	0.052
8en2D	real	b	flexref_90.pdb	0.692	rigidbody_946.pdb	0.641	0.051
8en2D	real	b	flexref_190.pdb	0.949	rigidbody_401.pdb	0.846	0.103
8en2D	real	b	flexref_34.pdb	0.385	rigidbody_326.pdb	0.359	0.026
8en2D	real	b	flexref_64.pdb	0.538	rigidbody_475.pdb	0.385	0.153
8en2D	real	b	flexref_25.pdb	0.282	rigidbody_259.pdb	0.256	0.026
8en2D	real	b	flexref_74.pdb	0.718	rigidbody_803.pdb	0.590	0.128
8en2D	real	b	flexref_33.pdb	0.462	rigidbody_351.pdb	0.359	0.103
8en2D	real	b	flexref_16.pdb	0.333	rigidbody_277.pdb	0.333	0.000
8en2D	real	b	flexref_176.pdb	0.641	rigidbody_59.pdb	0.538	0.103
8en2D	real	b	flexref_30.pdb	0.333	rigidbody_245.pdb	0.256	0.077
8en2D	real	b	flexref_32.pdb	0.256	rigidbody_267.pdb	0.256	0.000
8en2D	real	b	flexref_56.pdb	0.436	rigidbody_317.pdb	0.333	0.103
8en2D	real	b	flexref_3.pdb	0.410	rigidbody_369.pdb	0.333	0.077
8en2D	real	b	flexref_11.pdb	0.231	rigidbody_375.pdb	0.256	-0.025
8en2D	real	b	flexref_106.pdb	0.744	rigidbody_555.pdb	0.795	-0.051
8en2D	real	b	flexref_94.pdb	0.744	rigidbody_953.pdb	0.692	0.052
8en2D	real	b	flexref_100.pdb	0.769	rigidbody_919.pdb	0.718	0.051
8en2D	real	b	flexref_97.pdb	0.846	rigidbody_488.pdb	0.821	0.025
8en2D	real	b	flexref_2.pdb	0.436	rigidbody_251.pdb	0.359	0.077
8en2D	real	b	flexref_95.pdb	0.667	rigidbody_856.pdb	0.692	-0.025
8en2D	real	b	flexref_66.pdb	0.692	rigidbody_911.pdb	0.744	-0.052
8en2D	real	b	flexref_134.pdb	0.872	rigidbody_492.pdb	0.846	0.026
8en2D	real	b	flexref_142.pdb	0.949	rigidbody_498.pdb	0.846	0.103
8en2D	real	b	flexref_92.pdb	0.795	rigidbody_850.pdb	0.769	0.026
8en2D	real	b	flexref_103.pdb	0.744	rigidbody_881.pdb	0.692	0.052
8en2D	real	b	flexref_123.pdb	0.769	rigidbody_410.pdb	0.795	-0.026
8en2D	real	b	flexref_55.pdb	0.487	rigidbody_349.pdb	0.333	0.154
8en2D	real	b	flexref_65.pdb	0.487	rigidbody_538.pdb	0.359	0.128
8en2D	real	b	flexref_164.pdb	0.231	rigidbody_255.pdb	0.256	-0.025
8en2D	real	b	flexref_98.pdb	0.462	rigidbody_392.pdb	0.385	0.077
8en2D	real	b	flexref_38.pdb	0.308	rigidbody_217.pdb	0.256	0.052
8en2D	real	b	flexref_85.pdb	0.769	rigidbody_801.pdb	0.641	0.128
8en2D	real	b	flexref_111.pdb	0.436	rigidbody_156.pdb	0.410	0.026
8en2D	real	b	flexref_127.pdb	0.769	rigidbody_808.pdb	0.692	0.077
8en2D	real	b	flexref_107.pdb	0.744	rigidbody_982.pdb	0.462	0.282
8en2D	real	b	flexref_52.pdb	0.256	rigidbody_385.pdb	0.256	0.000
8en2D	real	b	flexref_84.pdb	0.410	rigidbody_224.pdb	0.359	0.051
8en2D	real	b	flexref_47.pdb	0.462	rigidbody_359.pdb	0.359	0.103
8en2D	real	b	flexref_145.pdb	0.718	rigidbody_835.pdb	0.718	0.000
8en2D	real	b	flexref_18.pdb	0.718	rigidbody_902.pdb	0.692	0.026
8en2D	real	b	flexref_1.pdb	0.513	rigidbody_292.pdb	0.359	0.154
8en2D	real	b	flexref_191.pdb	0.487	rigidbody_389.pdb	0.359	0.128
8en2D	real	b	flexref_165.pdb	0.462	rigidbody_585.pdb	0.436	0.026
8en2D	real	b	flexref_158.pdb	0.436	rigidbody_210.pdb	0.333	0.103
8en2D	real	b	flexref_6.pdb	0.462	rigidbody_300.pdb	0.333	0.129
8en2D	real	b	flexref_149.pdb	0.410	rigidbody_9.pdb	0.410	0.000
8en2D	real	b	flexref_146.pdb	0.359	rigidbody_363.pdb	0.282	0.077
8en2D	real	b	flexref_109.pdb	0.333	rigidbody_41.pdb	0.333	0.000
8en2D	loose	u	flexref_17.pdb	0.718	rigidbody_897.pdb	0.667	0.051
8en2D	loose	u	flexref_148.pdb	0.641	rigidbody_801.pdb	0.667	-0.026
8en2D	loose	u	flexref_160.pdb	0.718	rigidbody_981.pdb	0.667	0.051
8en2D	loose	u	flexref_191.pdb	0.744	rigidbody_878.pdb	0.667	0.077
8en2D	loose	u	flexref_192.pdb	0.692	rigidbody_838.pdb	0.667	0.025
8en2D	loose	u	flexref_109.pdb	0.436	rigidbody_563.pdb	0.385	0.051
8en2D	loose	u	flexref_36.pdb	0.641	rigidbody_106.pdb	0.590	0.051
8en2D	loose	u	flexref_14.pdb	0.872	rigidbody_178.pdb	0.641	0.231
8en2D	loose	u	flexref_127.pdb	0.692	rigidbody_891.pdb	0.667	0.025
8en2D	loose	u	flexref_69.pdb	0.744	rigidbody_938.pdb	0.667	0.077
8en2D	loose	u	flexref_163.pdb	0.692	rigidbody_895.pdb	0.667	0.025
8en2D	loose	u	flexref_84.pdb	0.718	rigidbody_407.pdb	0.641	0.077
8en2D	loose	u	flexref_52.pdb	0.744	rigidbody_808.pdb	0.667	0.077
8en2D	loose	u	flexref_19.pdb	0.667	rigidbody_121.pdb	0.590	0.077
8en2D	loose	u	flexref_42.pdb	0.744	rigidbody_885.pdb	0.667	0.077
8en2D	loose	u	flexref_156.pdb	0.615	rigidbody_827.pdb	0.564	0.051
8en2D	loose	u	flexref_15.pdb	0.718	rigidbody_866.pdb	0.667	0.051
8en2D	loose	u	flexref_10.pdb	0.436	rigidbody_352.pdb	0.256	0.180
8en2D	loose	u	flexref_100.pdb	0.615	rigidbody_927.pdb	0.667	-0.052
8en2D	loose	u	flexref_161.pdb	0.359	rigidbody_395.pdb	0.282	0.077
8en2D	loose	u	flexref_119.pdb	0.718	rigidbody_901.pdb	0.667	0.051
8en2D	loose	u	flexref_141.pdb	0.692	rigidbody_847.pdb	0.667	0.025
8en2D	loose	u	flexref_20.pdb	0.359	rigidbody_268.pdb	0.308	0.051
8en2D	loose	u	flexref_39.pdb	0.692	rigidbody_529.pdb	0.615	0.077
8en2D	loose	u	flexref_6.pdb	0.538	rigidbody_85.pdb	0.590	-0.052
8en2D	loose	u	flexref_90.pdb	0.205	rigidbody_53.pdb	0.179	0.026
8en2D	twohit	u	flexref_145.pdb	0.564	rigidbody_430.pdb	0.538	0.026
8en2D	twohit	u	flexref_144.pdb	0.564	rigidbody_442.pdb	0.410	0.154
8en2D	twohit	u	flexref_179.pdb	0.590	rigidbody_566.pdb	0.410	0.180
8en2D	twohit	u	flexref_196.pdb	0.564	rigidbody_489.pdb	0.410	0.154
8en2D	twohit	u	flexref_161.pdb	0.641	rigidbody_937.pdb	0.590	0.051
8en2D	twohit	u	flexref_174.pdb	0.538	rigidbody_483.pdb	0.538	0.000
8en2D	twohit	u	flexref_92.pdb	0.667	rigidbody_806.pdb	0.641	0.026
8en2D	twohit	u	flexref_81.pdb	0.667	rigidbody_990.pdb	0.615	0.052
8en2D	twohit	u	flexref_140.pdb	0.590	rigidbody_869.pdb	0.641	-0.051
8en2D	real	u	flexref_162.pdb	0.590	rigidbody_977.pdb	0.667	-0.077
8en2D	real	u	flexref_44.pdb	0.769	rigidbody_20.pdb	0.615	0.154
8en2D	real	u	flexref_23.pdb	0.282	rigidbody_334.pdb	0.231	0.051
8en2D	real	u	flexref_164.pdb	0.308	rigidbody_288.pdb	0.256	0.052
8en2D	real	u	flexref_191.pdb	0.872	rigidbody_574.pdb	0.795	0.077
8en2D	real	u	flexref_10.pdb	0.256	rigidbody_277.pdb	0.256	0.000
8en2D	real	u	flexref_98.pdb	0.949	rigidbody_566.pdb	0.795	0.154
8en2D	real	u	flexref_38.pdb	0.256	rigidbody_375.pdb	0.256	0.000
8en2D	real	u	flexref_108.pdb	0.769	rigidbody_100.pdb	0.615	0.154
8en2D	real	u	flexref_152.pdb	0.821	rigidbody_66.pdb	0.615	0.206
8en2D	real	u	flexref_16.pdb	0.410	rigidbody_342.pdb	0.231	0.179
8en2D	real	u	flexref_93.pdb	0.436	rigidbody_152.pdb	0.308	0.128
8en2D	real	u	flexref_57.pdb	0.308	rigidbody_217.pdb	0.256	0.052
8en2D	real	u	flexref_112.pdb	0.308	rigidbody_310.pdb	0.256	0.052
8en2D	real	u	flexref_145.pdb	0.333	rigidbody_228.pdb	0.256	0.077
8en2D	real	u	flexref_88.pdb	0.718	rigidbody_454.pdb	0.615	0.103
8en2D	real	u	flexref_52.pdb	0.692	rigidbody_102.pdb	0.564	0.128
8en2D	real	u	flexref_196.pdb	0.769	rigidbody_22.pdb	0.641	0.128
8en2D	real	u	flexref_35.pdb	0.667	rigidbody_133.pdb	0.590	0.077
8en2D	real	u	flexref_95.pdb	0.308	rigidbody_351.pdb	0.256	0.052
8en2D	real	u	flexref_47.pdb	0.333	rigidbody_225.pdb	0.256	0.077
8en2D	real	u	flexref_138.pdb	0.308	rigidbody_391.pdb	0.256	0.052
8en2D	real	u	flexref_143.pdb	0.385	rigidbody_223.pdb	0.359	0.026
8en2D	real	u	flexref_117.pdb	0.769	rigidbody_514.pdb	0.641	0.128
8en2D	real	u	flexref_155.pdb	0.282	rigidbody_286.pdb	0.256	0.026
8en2D	real	u	flexref_144.pdb	0.744	rigidbody_5.pdb	0.615	0.129
8en2D	real	u	flexref_119.pdb	0.795	rigidbody_113.pdb	0.667	0.128
8en2D	real	u	flexref_78.pdb	0.308	rigidbody_284.pdb	0.256	0.052
8en2D	real	u	flexref_31.pdb	0.692	rigidbody_147.pdb	0.590	0.102
8en2D	real	u	flexref_109.pdb	0.744	rigidbody_23.pdb	0.641	0.103
8en2D	real	u	flexref_101.pdb	0.282	rigidbody_318.pdb	0.256	0.026
8en2D	real	u	flexref_63.pdb	0.692	rigidbody_58.pdb	0.590	0.102
8en2D	real	u	flexref_25.pdb	0.590	rigidbody_104.pdb	0.564	0.026
8en2D	real	u	flexref_8.pdb	0.641	rigidbody_150.pdb	0.590	0.051
8en2D	real	u	flexref_46.pdb	0.821	rigidbody_444.pdb	0.692	0.129
8en2D	real	u	flexref_72.pdb	0.282	rigidbody_269.pdb	0.256	0.026
8en2D	real	u	flexref_172.pdb	0.692	rigidbody_480.pdb	0.615	0.077
8en2D	real	u	flexref_113.pdb	0.462	rigidbody_142.pdb	0.333	0.129
8en2D	real	u	flexref_45.pdb	0.308	rigidbody_312.pdb	0.256	0.052
8en2D	real	u	flexref_15.pdb	0.821	rigidbody_118.pdb	0.615	0.206
8en2D	real	u	flexref_21.pdb	0.590	rigidbody_170.pdb	0.564	0.026
8en2D	real	u	flexref_19.pdb	0.590	rigidbody_69.pdb	0.564	0.026
8en2D	real	u	flexref_30.pdb	0.333	rigidbody_292.pdb	0.256	0.077
8en2D	real	u	flexref_56.pdb	0.410	rigidbody_247.pdb	0.359	0.051
8en2D	real	u	flexref_42.pdb	0.256	rigidbody_235.pdb	0.256	0.000
8en2D	real	u	flexref_62.pdb	0.692	rigidbody_61.pdb	0.564	0.128
8en2D	real	u	flexref_185.pdb	0.744	rigidbody_6.pdb	0.615	0.129
8en2D	real	u	flexref_39.pdb	0.282	rigidbody_369.pdb	0.256	0.026
8en2D	real	u	flexref_12.pdb	0.744	rigidbody_177.pdb	0.590	0.154
8en2D	real	u	flexref_147.pdb	0.744	rigidbody_47.pdb	0.641	0.103
8en2D	real	u	flexref_127.pdb	0.308	rigidbody_229.pdb	0.256	0.052
8en2D	real	u	flexref_4.pdb	0.590	rigidbody_41.pdb	0.564	0.026
8en2D	real	u	flexref_122.pdb	0.179	rigidbody_383.pdb	0.256	-0.077
8en2D	real	u	flexref_170.pdb	0.256	rigidbody_201.pdb	0.256	0.000
8en2D	real	u	flexref_3.pdb	0.615	rigidbody_160.pdb	0.564	0.051
8en2D	real	u	flexref_90.pdb	0.692	rigidbody_543.pdb	0.615	0.077
8en2D	real	u	flexref_37.pdb	0.513	rigidbody_273.pdb	0.359	0.154
8en2D	real	u	flexref_6.pdb	0.718	rigidbody_67.pdb	0.513	0.205
8en2D	real	u	flexref_183.pdb	0.667	rigidbody_569.pdb	0.615	0.052
8en2D	real	u	flexref_24.pdb	0.692	rigidbody_121.pdb	0.590	0.102
8en2D	real	u	flexref_74.pdb	0.744	rigidbody_189.pdb	0.615	0.129
8en2D	real	u	flexref_29.pdb	0.692	rigidbody_175.pdb	0.564	0.128
8en2D	real	u	flexref_200.pdb	0.359	rigidbody_302.pdb	0.256	0.103
8en2D	real	u	flexref_124.pdb	0.667	rigidbody_146.pdb	0.564	0.103
8en2D	real	u	flexref_71.pdb	0.487	rigidbody_220.pdb	0.359	0.128
8en2D	real	u	flexref_166.pdb	0.333	rigidbody_200.pdb	0.308	0.025
8en2D	real	u	flexref_110.pdb	0.718	rigidbody_106.pdb	0.564	0.154
8en2D	real	u	flexref_61.pdb	0.359	rigidbody_316.pdb	0.359	0.000
8en2D	real	u	flexref_80.pdb	0.538	rigidbody_91.pdb	0.385	0.153
8en2D	real	u	flexref_168.pdb	0.667	rigidbody_403.pdb	0.590	0.077
8en2D	real	u	flexref_59.pdb	0.385	rigidbody_60.pdb	0.308	0.077
8en2D	real	u	flexref_14.pdb	0.692	rigidbody_80.pdb	0.590	0.102
8en2D	real	u	flexref_150.pdb	0.231	rigidbody_275.pdb	0.256	-0.025
8en2D	real	u	flexref_70.pdb	0.692	rigidbody_413.pdb	0.615	0.077
8en2D	real	u	flexref_184.pdb	0.538	rigidbody_848.pdb	0.333	0.205
8en2D	real	u	flexref_175.pdb	0.667	rigidbody_579.pdb	0.615	0.052
8en2D	real	u	flexref_13.pdb	0.667	rigidbody_8.pdb	0.513	0.154
8en2D	real	u	flexref_79.pdb	0.333	rigidbody_267.pdb	0.256	0.077
8en2D	real	u	flexref_146.pdb	0.590	rigidbody_834.pdb	0.590	0.000
8en2D	real	u	flexref_48.pdb	0.667	rigidbody_154.pdb	0.564	0.103
8en2D	real	u	flexref_149.pdb	0.615	rigidbody_548.pdb	0.615	0.000
8en2D	real	u	flexref_190.pdb	0.333	rigidbody_320.pdb	0.256	0.077
8en2D	real	u	flexref_136.pdb	0.538	rigidbody_509.pdb	0.615	-0.077
8en2D	real	u	flexref_11.pdb	0.462	rigidbody_123.pdb	0.385	0.077
8en2D	real	u	flexref_68.pdb	0.487	rigidbody_188.pdb	0.385	0.102
7w1sB	twohit	b	flexref_53.pdb	0.182	rigidbody_499.pdb	0.136	0.046
7w1sB	twohit	b	flexref_26.pdb	0.682	rigidbody_8.pdb	0.636	0.046
7w1sB	twohit	b	flexref_136.pdb	0.409	rigidbody_107.pdb	0.386	0.023
7w1sB	twohit	b	flexref_51.pdb	0.682	rigidbody_415.pdb	0.636	0.046
7w1sB	twohit	b	flexref_118.pdb	0.818	rigidbody_420.pdb	0.682	0.136
7w1sB	twohit	b	flexref_192.pdb	0.182	rigidbody_116.pdb	0.136	0.046
7w1sB	twohit	b	flexref_40.pdb	0.636	rigidbody_198.pdb	0.636	0.000
7w1sB	twohit	b	flexref_76.pdb	0.795	rigidbody_378.pdb	0.727	0.068
7w1sB	twohit	b	flexref_54.pdb	0.705	rigidbody_348.pdb	0.614	0.091
7w1sB	twohit	b	flexref_142.pdb	0.477	rigidbody_389.pdb	0.409	0.068
7w1sB	twohit	b	flexref_21.pdb	0.705	rigidbody_90.pdb	0.636	0.069
7w1sB	twohit	b	flexref_45.pdb	0.545	rigidbody_419.pdb	0.636	-0.091
7w1sB	twohit	b	flexref_195.pdb	0.477	rigidbody_237.pdb	0.386	0.091
7w1sB	twohit	b	flexref_126.pdb	0.432	rigidbody_319.pdb	0.295	0.137
7w1sB	twohit	b	flexref_187.pdb	0.386	rigidbody_182.pdb	0.455	-0.069
7w1sB	twohit	b	flexref_197.pdb	0.455	rigidbody_223.pdb	0.409	0.046
7w1sB	twohit	b	flexref_180.pdb	0.341	rigidbody_340.pdb	0.341	0.000
7w1sB	twohit	b	flexref_68.pdb	0.545	rigidbody_25.pdb	0.727	-0.182
7w1sB	twohit	b	flexref_80.pdb	0.750	rigidbody_187.pdb	0.727	0.023
7w1sB	twohit	b	flexref_33.pdb	0.545	rigidbody_185.pdb	0.636	-0.091
7w1sB	twohit	b	flexref_58.pdb	0.705	rigidbody_177.pdb	0.705	0.000
7w1sB	twohit	b	flexref_138.pdb	0.432	rigidbody_168.pdb	0.432	0.000
7w1sB	twohit	b	flexref_35.pdb	0.341	rigidbody_439.pdb	0.614	-0.273
7w1sB	twohit	b	flexref_39.pdb	0.568	rigidbody_308.pdb	0.705	-0.137
7w1sB	twohit	b	flexref_188.pdb	0.295	rigidbody_256.pdb	0.341	-0.046
7w1sB	twohit	b	flexref_24.pdb	0.568	rigidbody_273.pdb	0.614	-0.046
7w1sB	twohit	b	flexref_200.pdb	0.591	rigidbody_253.pdb	0.545	0.046
7w1sB	twohit	b	flexref_36.pdb	0.341	rigidbody_263.pdb	0.477	-0.136
7w1sB	twohit	b	flexref_159.pdb	0.523	rigidbody_287.pdb	0.523	0.000
7w1sB	twohit	b	flexref_101.pdb	0.364	rigidbody_157.pdb	0.318	0.046
7w1sB	twohit	b	flexref_169.pdb	0.318	rigidbody_449.pdb	0.318	0.000
7w1sB	twohit	b	flexref_133.pdb	0.432	rigidbody_307.pdb	0.432	0.000
7w1sB	twohit	b	flexref_150.pdb	0.318	rigidbody_283.pdb	0.409	-0.091
7w1sB	twohit	b	flexref_196.pdb	0.295	rigidbody_183.pdb	0.341	-0.046
7w1sB	twohit	b	flexref_170.pdb	0.341	rigidbody_213.pdb	0.364	-0.023
7w1sB	loose	b	flexref_132.pdb	0.841	rigidbody_254.pdb	0.727	0.114
