pdb	rank	FR_RMS	CDR1_RMS	CDR2_RMS	CDR3_RMS
7q6cH	15	1.468	2.091	2.216	3.196
7q6cH	16	2.143	3.187	3.212	3.692
7q6cH	17	1.409	2.075	2.454	3.308
7q6cH	18	2.163	3.234	3.278	3.679
7q6cH	19	2.168	3.295	3.394	4.294
7q6cH	20	2.108	3.384	3.223	4.17
7q6cH	21	1.267	1.748	1.966	2.543
7q6cH	22	2.342	3.794	3.627	4.499
7q6cH	23	2.097	3.401	3.192	4.15
7q6cH	24	2.004	3.237	3.045	4.013
7q6cH	25	1.883	3.022	2.941	3.888
7qbgE	1	1.135	1.839	2.633	2.695
7qbgE	2	1.121	1.949	2.687	2.737
7qbgE	3	1.121	1.877	2.653	2.693
7qbgE	4	1.126	1.888	2.636	2.684
7qbgE	5	1.134	1.896	2.683	2.621
7qbgE	6	1.119	1.711	2.61	2.483
7qbgE	7	1.12	1.756	2.62	2.541
7qbgE	8	1.09	2.11	2.77	2.676
7qbgE	9	1.123	1.791	2.647	2.484
7qbgE	10	1.092	1.978	2.713	2.598
7qbgE	11	1.122	1.753	2.639	2.524
7qbgE	12	1.091	2.076	2.715	2.669
7qbgE	13	1.084	2.121	2.76	2.593
7qbgE	14	1.132	1.783	2.628	2.42
7qbgE	15	1.107	2.115	2.743	2.557
7qbgE	16	1.113	2.131	2.746	2.397
7qbgE	17	1.106	2.001	2.677	2.408
7qbgE	18	1.104	2.148	2.778	2.468
7qbgE	19	1.101	1.983	2.697	2.415
7qbgE	20	1.114	2.024	2.7	2.402
7qbgE	21	1.115	1.808	2.681	2.249
7qbgE	22	1.112	1.682	2.646	2.379
7qbgE	23	1.116	1.812	2.71	2.356
7qbgE	24	1.107	1.847	2.691	2.34
7qbgE	25	1.109	1.75	2.675	2.373
7qneG	1	0.871	2.537	1.998	2.036
7qneG	2	0.87	2.159	1.678	1.873
7qneG	3	0.87	2.124	1.649	1.925
7qneG	4	0.684	0.716	0.606	2.826
7qneG	5	0.887	2.476	2.02	2.039
7qneG	6	0.872	2.332	1.985	1.981
7qneG	7	0.855	2.139	1.678	1.969
7qneG	8	0.683	0.762	0.622	2.133
7qneG	9	0.868	2.16	1.727	1.902
7qneG	10	0.688	0.82	0.687	2.266
7qneG	11	0.789	2.38	1.867	1.963
7qneG	12	0.841	2.08	1.607	2.694
7qneG	13	0.885	2.354	1.904	2.066
7qneG	14	0.852	2.276	2.106	2.009
7qneG	15	0.925	2.077	2.018	2.157
7qneG	16	0.892	2.053	1.746	1.973
7qneG	17	0.829	2.282	2.123	2.053
7qneG	18	0.896	2.263	2.174	2.032
7qneG	19	0.79	2.396	1.872	2.169
7qneG	20	0.788	2.37	1.846	2.123
7qneG	21	0.73	1.913	1.479	2.968
7qneG	22	0.677	2.195	1.691	2.962
7qneG	23	0.687	2.304	1.774	2.583
7qneG	24	0.878	2.241	2.049	2.053
7qneG	25	0.845	2.313	2.002	2.429
7r24C	1	0.927	1.354	1.243	1.532
7r24C	2	0.934	1.368	1.207	1.46
7r24C	3	0.933	1.362	1.235	1.439
7r24C	4	0.935	1.361	1.224	1.499
7r24C	5	0.941	1.339	1.178	1.466
7r24C	6	0.925	1.272	1.163	1.407
7r24C	7	0.933	1.325	1.147	1.365
7r24C	8	0.935	1.236	1.086	1.401
7r24C	9	0.925	1.251	1.151	1.361
7r24C	10	0.93	1.266	1.149	1.398
7r24C	11	0.946	1.346	1.174	1.384
7r24C	12	0.943	1.41	1.236	1.42
7r24C	13	0.951	1.381	1.189	1.372
7r24C	14	0.952	1.381	1.185	1.374
7r24C	15	0.95	1.364	1.219	1.397
7r24C	16	0.887	2.466	2.06	2.177
7r24C	17	0.918	2.696	2.171	2.314
7r24C	18	0.884	2.565	2.106	2.25
7r24C	19	0.893	2.588	2.058	2.241
7r24C	20	0.925	2.679	2.118	2.285
7r24C	21	0.923	2.678	2.147	2.269
7r24C	22	0.887	2.477	2.025	2.135
7r24C	23	0.924	2.677	2.113	2.297
7r24C	24	0.892	2.568	2.061	2.263
7r24C	25	0.977	3.376	2.604	2.696
7r24E	1	0.611	1.526	1.15	2.38
7r24E	2	0.604	1.562	1.177	2.378
7r24E	3	0.602	1.166	0.898	2.362
7r24E	4	0.603	1.036	0.809	2.311
7r24E	5	0.613	1.512	1.139	2.293
7r24E	6	0.619	1.516	1.142	2.263
7r24E	7	0.625	1.612	1.209	2.278
7r24E	8	0.595	1.158	0.892	2.344
7r24E	9	0.62	1.241	0.951	2.304
7r24E	10	0.631	1.232	0.945	2.337
7r24E	11	0.656	1.784	1.343	2.573
7r24E	12	0.641	1.493	1.133	2.493
7r24E	13	0.721	2.088	1.567	1.864
7r24E	14	0.694	1.523	1.166	1.765
7r24E	15	0.658	1.955	1.466	2.08
7r24E	16	0.649	1.698	1.283	2.267
7r24E	17	0.669	1.88	1.414	2.062
7r24E	18	0.653	1.702	1.283	2.085
7r24E	19	0.639	1.686	1.275	2.191
7r24E	20	0.67	1.519	1.155	1.795
7r24E	21	0.684	1.493	1.139	2.212
7r24E	22	0.657	1.899	1.426	2.122
7r24E	23	0.696	1.606	1.226	1.84
7r24E	24	0.659	1.688	1.273	2.29
7r24E	25	0.678	1.823	1.378	2.128
7t5fF	1	0.586	1.726	1.545	1.309
7t5fF	2	0.59	2.031	1.754	1.432
7t5fF	3	0.69	5.131	4.095	3.166
7t5fF	4	0.606	2.012	1.756	1.44
7t5fF	5	0.698	5.157	4.12	3.19
7t5fF	6	0.694	5.17	4.117	3.187
7t5fF	7	0.676	5.117	4.078	3.155
7t5fF	8	0.652	5.399	4.234	3.275
7t5fF	9	0.647	5.342	4.188	3.241
7t5fF	10	0.7	5.09	4.065	3.151
7t5fF	11	0.637	5.312	4.158	3.209
7t5fF	12	0.662	5.39	4.238	3.277
7t5fF	13	0.631	5.206	4.076	3.161
7t5fF	14	0.649	4.89	3.871	2.982
7t5fF	15	0.658	5.008	3.959	3.059
7t5fF	16	0.612	2.446	2.138	1.682
7t5fF	17	0.656	4.981	3.936	3.039
7t5fF	18	0.647	5.021	3.966	3.079
7t5fF	19	0.683	4.609	3.648	2.851
7t5fF	20	0.652	4.872	3.857	3.008
7t5fF	21	0.691	4.266	3.451	2.708
7t5fF	22	0.615	2.826	2.534	2.897
7t5fF	23	0.618	2.908	2.566	2.936
7t5fF	24	0.619	2.942	2.603	2.965
7t5fF	25	0.624	2.955	2.63	2.974
7tgfB	1	1.143	0.855	1.003	3.76
7tgfB	2	1.343	1.056	1.064	3.51
7tgfB	3	1.294	1.084	1.091	3.501
7tgfB	4	1.315	1.022	1.04	3.509
7tgfB	5	1.141	0.906	1.001	3.499
7tgfB	6	1.323	1.044	1.048	3.474
7tgfB	7	1.281	0.988	1.02	3.603
7tgfB	8	1.154	0.787	0.931	3.444
7tgfB	9	1.127	0.853	0.987	3.444
7tgfB	10	1.122	0.801	0.936	3.472
7tgfB	11	3.454	1.848	1.649	2.766
7tgfB	12	1.216	0.707	0.927	3.57
7tgfB	13	1.239	0.687	0.927	3.595
7tgfB	14	1.218	0.859	0.941	3.2
7tgfB	15	1.227	0.686	0.938	3.603
7tgfB	16	3.464	1.817	1.637	2.755
7tgfB	17	1.218	0.619	0.877	3.459
7tgfB	18	1.242	0.858	0.953	3.455
7tgfB	19	3.414	1.859	1.673	3.844
7tgfB	20	1.239	0.641	0.88	3.277
7tgfB	21	1.231	1.245	1.238	3.446
7tgfB	22	1.215	1.177	1.24	3.118
7tgfB	23	1.198	1.127	1.193	3.272
7tgfB	24	1.211	1.206	1.205	3.208
7tgfB	25	1.182	1.194	1.195	3.428
7tgiB	1	2.141	1.402	1.589	5.862
7tgiB	2	2.141	1.355	1.542	5.691
7tgiB	3	2.154	1.481	1.64	5.767
7tgiB	4	2.147	1.362	1.528	5.569
7tgiB	5	2.152	1.486	1.662	5.981
7tgiB	6	2.152	1.561	1.672	5.841
7tgiB	7	2.152	1.489	1.625	5.768
7tgiB	8	2.152	1.542	1.653	5.909
7tgiB	9	2.139	1.39	1.558	5.587
7tgiB	10	2.133	1.403	1.553	5.71
7tgiB	11	2.165	1.5	1.671	5.4
7tgiB	12	2.181	1.526	1.721	5.726
7tgiB	13	2.167	1.512	1.675	5.677
7tgiB	14	2.166	1.495	1.665	4.97
7tgiB	15	2.164	1.525	1.672	4.832
7tgiB	16	2.176	1.507	1.702	5.671
7tgiB	17	2.167	1.498	1.646	5.477
7tgiB	18	2.183	1.515	1.693	5.558
7tgiB	19	2.176	1.543	1.69	5.499
7tgiB	20	2.178	1.558	1.688	5.413
7tgiB	21	2.147	1.743	1.916	4.472
7tgiB	22	2.151	1.644	1.848	4.774
7tgiB	23	2.147	1.639	1.857	4.655
7tgiB	24	2.15	1.717	1.913	5.008
7tgiB	25	2.15	1.576	1.816	4.844
7th2C	1	1.997	2.028	1.892	3.234
7th2C	2	2.03	1.992	1.855	3.261
7th2C	3	2.014	2.032	1.898	3.199
7th2C	4	2.013	1.987	1.877	3.18
7th2C	5	2.05	1.936	1.84	3.096
7th2C	6	2.083	1.923	1.881	3.37
7th2C	7	2.07	1.95	1.789	3.355
7th2C	8	2.052	1.931	1.746	3.076
7th2C	9	2.115	1.931	1.897	3.404
7th2C	10	2.039	1.936	1.838	3.377
7th2C	11	1.974	1.601	1.677	3.273
7th2C	12	2.115	1.902	1.835	3.442
7th2C	13	2.089	1.907	1.828	3.346
7th2C	14	2.018	1.636	1.392	3.264
7th2C	15	2.049	1.925	1.836	3.382
7th2C	16	2.053	1.925	1.836	3.387
7th2C	17	1.913	1.639	1.585	3.233
7th2C	18	2.02	1.57	1.621	3.261
7th2C	19	1.994	1.594	1.652	3.321
7th2C	20	0.767	2.53	2.147	3.348
7th2C	21	2.17	1.766	1.701	3.385
7th2C	22	2.148	1.754	1.699	3.388
7th2C	23	2.17	1.775	1.689	3.369
7th2C	24	2.162	1.775	1.704	3.307
7th2C	25	2.159	1.79	1.683	3.369
7tprE	1	1.69	3.998	3.304	12.075
7tprE	2	1.693	3.915	3.251	11.987
7tprE	3	2.547	3.919	3.305	11.77
7tprE	4	1.709	4.22	3.474	12.446
7tprE	5	1.69	3.91	3.288	12.248
7tprE	6	2.014	3.929	3.278	12.551
7tprE	7	2.094	4.033	3.348	12.415
7tprE	8	2.565	3.512	3.027	11.614
7tprE	9	2.577	2.418	2.316	11.485
7tprE	10	1.726	3.834	3.204	12.07
7tprE	11	2.233	4.022	3.32	11.831
7tprE	12	2.219	3.993	3.309	11.96
7tprE	13	2.073	3.542	3.0	11.509
7tprE	14	2.592	2.41	2.33	10.817
7tprE	15	2.039	3.749	3.178	12.723
7tprE	16	2.483	3.738	3.256	13.086
7tprE	17	2.036	3.695	3.158	12.501
7tprE	18	2.505	3.698	3.236	13.093
7tprE	19	2.596	2.373	2.268	9.988
7tprE	20	2.227	3.7	3.123	12.488
7tprE	21	2.096	3.705	3.128	12.474
7tprE	22	2.507	2.49	2.444	12.348
7tprE	23	2.515	3.348	2.989	12.808
7tprE	24	1.942	3.743	3.131	12.554
7tprE	25	2.49	2.398	2.387	12.478
7ubxC	1	0.768	0.387	0.421	3.921
7ubxC	2	0.749	0.37	0.416	4.029
7ubxC	3	0.763	0.381	0.399	3.93
7ubxC	4	0.765	0.37	0.398	4.005
7ubxC	5	0.753	0.367	0.416	3.954
7ubxC	6	0.785	0.322	0.447	3.807
7ubxC	7	0.776	0.339	0.389	3.903
7ubxC	8	0.759	1.308	1.133	1.595
7ubxC	9	0.699	0.411	0.652	1.378
7ubxC	10	0.768	0.323	0.468	3.874
7ubxC	11	0.778	0.324	0.428	3.836
7ubxC	12	0.772	0.324	0.403	3.828
7ubxC	13	0.707	0.3	0.409	3.659
7ubxC	14	0.703	0.368	0.518	3.768
7ubxC	15	0.691	0.3	0.456	3.789
7ubxC	16	0.672	0.296	0.475	3.725
7ubxC	17	0.717	0.363	0.542	3.698
7ubxC	18	0.721	0.374	0.514	3.762
7ubxC	19	0.721	0.367	0.455	3.771
7ubxC	20	0.669	0.301	0.512	3.704
7ubxC	21	0.711	0.287	0.314	3.697
7ubxC	22	0.695	0.271	0.38	3.795
7ubxC	23	0.703	0.279	0.341	3.661
7ubxC	24	0.708	0.293	0.368	3.752
7ubxC	25	0.701	0.283	0.407	4.231
7uiaB	1	0.951	1.197	1.736	5.585
7uiaB	2	0.928	1.525	1.858	5.706
7uiaB	3	0.926	1.594	1.909	5.643
7uiaB	4	0.928	0.86	1.52	5.48
7uiaB	5	0.93	0.942	1.556	5.574
7uiaB	6	0.927	1.511	1.852	5.639
7uiaB	7	0.946	1.432	1.833	5.502
7uiaB	8	0.94	1.314	1.762	5.468
7uiaB	9	0.932	1.3	1.783	5.588
7uiaB	10	0.939	1.44	1.842	5.505
7uiaB	11	0.924	1.044	1.604	5.474
7uiaB	12	0.942	0.84	1.516	5.309
7uiaB	13	0.957	0.47	1.555	6.268
7uiaB	14	0.957	0.582	1.549	6.182
7uiaB	15	0.955	0.505	1.548	6.077
7uiaB	16	0.927	1.331	1.742	5.724
7uiaB	17	0.954	0.576	1.575	6.212
7uiaB	18	0.957	0.506	1.564	5.861
7uiaB	19	0.938	1.24	1.728	6.007
7uiaB	20	0.928	0.858	1.513	6.203
7uiaB	21	0.945	1.66	1.912	6.117
7uiaB	22	0.951	1.377	1.785	5.86
7uiaB	23	0.945	1.762	1.939	6.075
7uiaB	24	0.937	1.642	1.91	6.098
7uiaB	25	0.937	1.616	1.867	5.742
7unzA	1	0.731	2.013	1.596	4.282
7unzA	2	0.722	2.011	1.594	4.383
7unzA	3	0.73	2.01	1.596	4.361
7unzA	4	0.729	2.038	1.615	4.465
7unzA	5	0.842	3.657	2.821	4.655
7unzA	6	0.727	2.022	1.606	4.507
7unzA	7	0.849	3.645	2.81	4.806
7unzA	8	0.842	3.625	2.794	4.584
7unzA	9	0.777	3.618	2.788	4.43
7unzA	10	0.73	2.021	1.585	4.373
7unzA	11	0.797	3.604	2.781	4.195
7unzA	12	0.73	2.223	1.74	3.241
7unzA	13	0.737	2.05	1.624	4.904
7unzA	14	0.827	3.54	2.736	4.247
7unzA	15	0.74	2.018	1.587	4.636
7unzA	16	0.709	2.199	1.723	2.962
7unzA	17	0.709	2.348	1.826	3.144
7unzA	18	0.794	2.239	1.757	4.237
7unzA	19	0.86	2.511	1.957	4.615
7unzA	20	0.73	2.024	1.6	4.145
7unzA	21	0.76	2.259	1.769	4.157
7unzA	22	0.778	2.323	1.814	3.838
7unzA	23	0.774	2.33	1.824	4.116
7unzA	24	0.724	2.042	1.602	4.163
7unzA	25	0.786	2.503	1.95	3.981
7voaA	1	0.675	1.418	1.112	4.163
7voaA	2	0.717	1.405	1.116	4.149
7voaA	3	0.696	1.373	1.092	4.298
7voaA	4	0.674	1.401	1.115	4.07
7voaA	5	0.667	1.421	1.119	4.337
7voaA	6	0.732	1.382	1.106	4.378
7voaA	7	0.697	1.329	1.076	3.698
7voaA	8	0.694	1.356	1.083	3.432
7voaA	9	0.69	1.316	1.054	3.467
7voaA	10	0.721	1.038	0.85	1.936
7voaA	11	0.693	1.216	0.972	3.65
7voaA	12	0.729	0.892	0.752	4.175
7voaA	13	0.711	1.089	0.878	1.712
7voaA	14	0.7	1.114	0.887	3.582
7voaA	15	0.712	1.456	1.121	3.668
7voaA	16	0.715	1.17	0.957	2.551
7voaA	17	0.72	1.089	0.877	1.718
7voaA	18	0.73	0.835	0.729	3.493
7voaA	19	0.723	0.851	0.733	3.465
7voaA	20	0.748	0.795	0.701	3.309
7voaA	21	0.722	1.403	1.089	3.273
7voaA	22	0.717	0.793	0.695	3.462
7voaA	23	0.709	1.422	1.097	3.521
7voaA	24	0.717	1.486	1.14	3.622
7voaA	25	0.713	1.525	1.166	3.492
7w1sB	1	0.944	1.964	1.607	1.475
7w1sB	2	0.863	1.911	1.531	1.384
7w1sB	3	0.889	1.813	1.473	1.419
7w1sB	4	0.884	1.794	1.461	1.393
7w1sB	5	0.94	1.959	1.6	1.465
7w1sB	6	0.823	1.811	1.447	1.34
7w1sB	7	0.851	1.875	1.499	1.373
7w1sB	8	0.947	2.004	1.652	1.515
7w1sB	9	0.921	1.929	1.577	1.475
7w1sB	10	0.866	1.825	1.467	1.287
7w1sB	11	0.934	1.949	1.661	1.521
7w1sB	12	0.865	1.824	1.459	1.297
7w1sB	13	0.881	1.777	1.432	1.354
7w1sB	14	0.891	1.854	1.488	1.32
7w1sB	15	0.874	1.805	1.485	1.321
7w1sB	16	0.886	1.822	1.463	1.298
7w1sB	17	0.906	1.782	1.431	1.306
7w1sB	18	0.793	1.814	1.45	1.983
7w1sB	19	0.897	1.747	1.411	1.271
7w1sB	20	0.81	1.787	1.43	1.531
7w1sB	21	0.846	1.766	1.412	2.015
7w1sB	22	0.867	1.817	1.467	1.952
7w1sB	23	0.877	1.861	1.515	1.532
7w1sB	24	0.86	1.786	1.435	1.948
7w1sB	25	0.862	1.883	1.561	2.051
7wd2D	1	0.578	1.329	1.223	4.29
7wd2D	2	0.614	1.611	1.412	4.287
7wd2D	3	0.578	1.26	1.175	4.091
7wd2D	4	0.573	1.286	1.191	4.199
7wd2D	5	0.576	1.235	1.169	4.0
7wd2D	6	0.587	1.557	1.372	4.351
7wd2D	7	0.578	1.283	1.176	4.059
7wd2D	8	0.615	1.598	1.4	4.316
7wd2D	9	0.613	1.547	1.381	4.311
7wd2D	10	0.605	1.513	1.339	4.428
7wd2D	11	0.616	1.123	1.079	4.311
7wd2D	12	0.656	1.027	1.076	4.009
7wd2D	13	0.627	1.072	1.049	4.423
7wd2D	14	0.657	1.003	1.067	4.033
7wd2D	15	0.67	0.989	1.081	3.992
7wd2D	16	0.668	1.003	1.075	4.08
7wd2D	17	0.618	1.035	1.015	4.403
7wd2D	18	0.627	1.046	1.041	4.442
7wd2D	19	0.646	0.962	1.04	4.031
7wd2D	20	0.895	1.219	1.113	4.287
7wd2D	21	0.603	1.448	1.396	3.766
7wd2D	22	0.594	1.357	1.329	3.645
7wd2D	23	0.589	1.327	1.295	3.671
7wd2D	24	0.595	1.404	1.353	3.666
7wd2D	25	0.592	1.431	1.371	3.572
7whiG	1	1.059	1.621	2.385	2.089
7whiG	2	1.058	1.603	2.369	2.042
7whiG	3	1.054	1.637	2.349	2.063
7whiG	4	1.055	1.604	2.359	2.031
7whiG	5	1.05	1.587	2.387	2.061
7whiG	6	1.063	1.556	2.443	2.178
7whiG	7	1.068	1.579	2.353	2.051
7whiG	8	1.06	1.562	2.43	2.207
7whiG	9	1.066	1.597	2.319	2.057
7whiG	10	1.062	1.557	2.426	2.161
7whiG	11	1.063	1.548	2.421	2.134
7whiG	12	1.068	1.6	2.31	2.031
7whiG	13	1.056	1.525	2.371	1.982
7whiG	14	1.062	1.558	2.417	2.14
7whiG	15	1.068	1.607	2.27	2.02
7whiG	16	1.067	1.61	1.597	1.683
7whiG	17	1.073	1.537	2.334	2.05
7whiG	18	1.075	1.533	2.377	2.021
7whiG	19	1.073	1.483	2.358	2.018
7whiG	20	1.075	1.525	2.367	2.031
7whiG	21	1.075	1.537	2.384	2.052
7whiG	22	1.072	1.443	2.27	2.17
7whiG	23	1.08	1.454	2.21	2.952
7whiG	24	1.07	1.43	2.236	2.107
7whiG	25	1.066	1.442	2.229	2.371
7wkiB	1	0.535	4.314	3.313	4.692
7wkiB	2	0.498	4.303	3.298	4.617
7wkiB	3	0.496	4.349	3.342	4.563
7wkiB	4	0.508	4.319	3.32	4.509
7wkiB	5	0.508	4.322	3.305	4.516
7wkiB	6	0.533	4.302	3.306	4.682
7wkiB	7	0.502	4.255	3.251	4.534
7wkiB	8	0.537	4.307	3.314	4.664
7wkiB	9	0.525	4.204	3.227	4.797
7wkiB	10	0.531	4.238	3.258	4.73
7wkiB	11	0.542	4.212	3.215	4.323
7wkiB	12	0.543	4.228	3.228	4.405
7wkiB	13	0.55	4.531	3.48	4.737
7wkiB	14	0.542	4.238	3.25	4.408
7wkiB	15	0.544	4.526	3.451	4.649
7wkiB	16	0.549	4.25	3.26	4.68
7wkiB	17	0.555	4.521	3.46	4.688
7wkiB	18	0.54	4.167	3.179	4.339
7wkiB	19	0.544	4.502	3.429	4.639
7wkiB	20	0.55	4.424	3.382	4.612
7wkiB	21	0.507	3.547	2.769	4.617
7wkiB	22	0.504	3.694	2.876	4.613
7wkiB	23	0.501	3.749	2.924	4.553
7wkiB	24	0.513	3.192	2.522	4.483
7wkiB	25	0.493	3.271	2.594	4.636
7wpfU	1	3.042	5.264	4.987	6.408
7wpfU	2	3.234	5.703	5.423	6.708
7wpfU	3	3.055	5.321	5.028	6.367
7wpfU	4	2.974	4.717	4.533	5.993
7wpfU	5	3.239	5.879	5.574	5.587
7wpfU	6	3.055	5.076	4.841	6.077
7wpfU	7	3.084	5.775	5.428	5.714
7wpfU	8	3.573	6.688	6.296	6.051
7wpfU	9	3.334	6.387	5.975	5.884
7wpfU	10	3.475	6.555	6.17	6.04
7wpfU	11	2.378	2.447	2.374	3.659
7wpfU	12	2.126	2.6	2.393	3.636
7wpfU	13	2.385	2.806	2.698	3.485
7wpfU	14	2.656	3.233	3.186	4.209
7wpfU	15	2.228	2.618	2.458	3.705
7wpfU	16	3.022	6.536	5.938	7.23
7wpfU	17	3.021	4.997	4.824	5.948
7wpfU	18	3.208	6.738	6.153	7.592
7wpfU	19	2.674	5.657	5.147	6.065
7wpfU	20	3.137	4.367	4.502	5.356
7wpfU	21	2.455	5.336	4.777	6.175
7wpfU	22	2.979	5.055	4.78	5.687
7wpfU	23	2.389	4.907	4.452	5.57
7wpfU	24	3.286	4.598	4.701	4.689
7wpfU	25	3.38	5.466	5.283	5.506
7x2jB	1	0.393	2.372	1.758	4.294
7x2jB	2	0.458	1.93	1.439	4.321
7x2jB	3	0.389	2.388	1.771	4.42
7x2jB	4	0.395	1.904	1.419	4.301
7x2jB	5	0.397	1.961	1.462	4.418
7x2jB	6	0.404	2.229	1.654	4.203
7x2jB	7	0.402	1.755	1.314	4.166
7x2jB	8	0.41	1.695	1.265	4.034
7x2jB	9	0.407	1.709	1.279	3.957
7x2jB	10	0.408	1.528	1.151	3.805
7x2jB	11	0.413	1.692	1.265	4.853
7x2jB	12	0.392	1.27	0.966	4.778
7x2jB	13	0.395	1.204	0.925	4.8
7x2jB	14	0.45	2.246	1.664	3.414
7x2jB	15	0.379	0.99	0.781	3.855
7x2jB	16	0.44	2.15	1.596	3.454
7x2jB	17	0.398	1.303	0.983	3.533
7x2jB	18	0.443	1.815	1.355	2.981
7x2jB	19	0.437	2.214	1.64	3.25
7x2jB	20	0.383	1.809	1.355	3.834
7x2jB	21	0.433	1.679	1.259	3.016
7x2jB	22	0.392	1.425	1.071	3.129
7x2jB	23	0.433	1.558	1.172	2.998
7x2jB	24	0.439	1.38	1.04	2.952
7x2jB	25	0.438	1.532	1.15	3.006
7x2lB	1	1.355	0.974	0.916	1.051
7x2lB	2	1.37	0.949	0.933	1.071
7x2lB	3	1.312	0.988	0.914	1.02
7x2lB	4	1.228	0.709	0.75	0.879
7x2lB	5	1.291	0.643	0.708	0.801
7x2lB	6	1.355	2.34	1.997	1.709
7x2lB	7	1.232	0.585	0.65	0.743
7x2lB	8	1.371	4.006	3.122	2.621
7x2lB	9	1.257	2.363	2.33	1.983
7x2lB	10	1.255	2.347	2.237	1.931
7x2lB	11	1.288	2.329	2.236	1.94
7x2lB	12	1.231	0.937	0.86	1.165
7x2lB	13	1.014	4.62	3.646	2.985
