pdb	cluster_id	centroid_file
7ubxC	8	7ubx_C_B_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_004_nanobody
7ubxC	9	imbuilder_7ubxC_rank0
7ubxC	10	7ubx_C_B_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003_nanobody
7ubxC	11	7ubx_C_B_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000_nanobody
7ubxC	12	7ubx_C_B_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_003_nanobody
7ubxC	13	imbuilder_7ubxC_rank2
7uiaB	0	7uia_B_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_003
7uiaB	1	7uia_B_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_003
7uiaB	2	7uia_B_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_004_nanobody
7uiaB	3	7uia_B_A_unrelaxed_rank_025_alphafold2_multimer_v3_model_1_seed_002_nanobody
7uiaB	4	7uia_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_003_nanobody
7uiaB	5	7uia_B_unrelaxed_rank_020_alphafold2_ptm_model_2_seed_002
7uiaB	6	7uia_B_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000
7uiaB	7	imbuilder_7uiaB_rank3
7uiaB	8	imbuilder_7uiaB_rank2
7uiaB	9	imbuilder_7uiaB_rank1
7uiaB	10	imbuilder_7uiaB_rank0
7uiaB	11	7uia_B_A_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_003_nanobody
7unzA	0	7unz_A_unrelaxed_rank_009_alphafold2_ptm_model_3_seed_003
7unzA	1	7unz_A_unrelaxed_rank_013_alphafold2_ptm_model_5_seed_000
7unzA	2	imbuilder_7unzA_rank0
7unzA	3	7unz_A_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_003
7unzA	4	7unz_A_D_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_003_nanobody
7unzA	5	7unz_A_D_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001_nanobody
7unzA	6	7unz_A_D_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_002_nanobody
7unzA	7	7unz_A_unrelaxed_rank_018_alphafold2_ptm_model_1_seed_004
7unzA	8	7unz_A_unrelaxed_rank_021_alphafold2_ptm_model_2_seed_004
7unzA	9	imbuilder_7unzA_rank2
7unzA	10	7unz_A_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_nanobody
7unzA	11	7unz_A_unrelaxed_rank_010_alphafold2_ptm_model_5_seed_004
7unzA	12	7unz_A_D_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000_nanobody
7unzA	13	7unz_A_D_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003_nanobody
7unzA	14	7unz_A_D_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_002_nanobody
7unzA	15	7unz_A_unrelaxed_rank_023_alphafold2_ptm_model_2_seed_002
7unzA	16	7unz_A_unrelaxed_rank_016_alphafold2_ptm_model_3_seed_001
7unzA	17	7unz_A_D_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_004_nanobody
7voaA	0	7voa_A_unrelaxed_rank_010_alphafold2_ptm_model_2_seed_004
7voaA	1	7voa_A_B_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_002_nanobody
7voaA	2	7voa_A_unrelaxed_rank_006_alphafold2_ptm_model_3_seed_000
7voaA	3	7voa_A_unrelaxed_rank_014_alphafold2_ptm_model_2_seed_001
7voaA	4	7voa_A_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_003
7voaA	5	7voa_A_unrelaxed_rank_012_alphafold2_ptm_model_1_seed_000
7voaA	6	7voa_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_002_nanobody
7voaA	7	imbuilder_7voaA_rank2
7voaA	8	imbuilder_7voaA_rank1
7voaA	9	imbuilder_7voaA_rank3
7voaA	10	7voa_A_B_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_003_nanobody
7voaA	11	imbuilder_7voaA_rank0
7w1sB	0	7w1s_B_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_003
7w1sB	1	imbuilder_7w1sB_rank2
7w1sB	2	7w1s_B_unrelaxed_rank_018_alphafold2_ptm_model_4_seed_004
7wd2D	0	7wd2_D_B_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_000_nanobody
7wd2D	1	imbuilder_7wd2D_rank0
7wd2D	2	7wd2_D_B_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_003_nanobody
7wd2D	3	7wd2_D_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_003
7wd2D	4	imbuilder_7wd2D_rank1
7wd2D	5	7wd2_D_B_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004_nanobody
7wd2D	6	imbuilder_7wd2D_rank3
7wd2D	7	7wd2_D_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_002
7whiG	0	7whi_G_unrelaxed_rank_022_alphafold2_ptm_model_2_seed_003
7whiG	1	7whi_G_A_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_002_nanobody
7whiG	2	7whi_G_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_003
7wkiB	0	7wki_B_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_004
7wkiB	1	7wki_B_A_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_002_nanobody
7wkiB	2	7wki_B_unrelaxed_rank_011_alphafold2_ptm_model_2_seed_002
7wkiB	3	7wki_B_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003_nanobody
7wkiB	4	7wki_B_unrelaxed_rank_012_alphafold2_ptm_model_2_seed_001
7wkiB	5	imbuilder_7wkiB_rank3
7wkiB	6	imbuilder_7wkiB_rank1
7wkiB	7	imbuilder_7wkiB_rank0
7wkiB	8	7wki_B_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_004
7wkiB	9	imbuilder_7wkiB_rank2
7x2jB	0	7x2j_B_unrelaxed_rank_022_alphafold2_ptm_model_1_seed_004
7x2jB	1	7x2j_B_S_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_002_nanobody
7x2jB	2	7x2j_B_S_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_001_nanobody
7x2jB	3	7x2j_B_S_unrelaxed_rank_006_alphafold2_multimer_v3_model_3_seed_004_nanobody
7x2jB	4	imbuilder_7x2jB_rank0
7x2jB	5	7x2j_B_unrelaxed_rank_011_alphafold2_ptm_model_2_seed_000
7x2jB	6	7x2j_B_S_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002_nanobody
7x2jB	7	7x2j_B_unrelaxed_rank_006_alphafold2_ptm_model_3_seed_000
7x2jB	8	imbuilder_7x2jB_rank2
7x2jB	9	7x2j_B_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_004
7x2jB	10	7x2j_B_S_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_003_nanobody
7x2jB	11	7x2j_B_S_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_002_nanobody
7x2lB	0	7x2l_B_E_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_003_nanobody
7x2lB	1	7x2l_B_E_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_002_nanobody
7x2lB	2	imbuilder_7x2lB_rank0
7x2mB	0	imbuilder_7x2mB_rank3
7x2mB	1	7x2m_B_unrelaxed_rank_017_alphafold2_ptm_model_4_seed_000
7x2mB	2	7x2m_B_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_001
7x2mB	3	7x2m_B_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_004
7x7eA	0	7x7e_A_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_001
7x7eA	1	imbuilder_7x7eA_rank2
7x7eA	2	7x7e_A_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000_nanobody
7x7eA	3	imbuilder_7x7eA_rank3
7x7eA	4	imbuilder_7x7eA_rank0
7xqvB	0	imbuilder_7xqvB_rank2
7xqvB	1	imbuilder_7xqvB_rank0
7xqvB	2	7xqv_B_unrelaxed_rank_007_alphafold2_ptm_model_2_seed_004
7xqvB	3	7xqv_B_unrelaxed_rank_013_alphafold2_ptm_model_3_seed_002
7xqvB	4	7xqv_B_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_003
7xqvB	5	7xqv_B_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001_nanobody
7xqvB	6	7xqv_B_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003_nanobody
7xqvB	7	7xqv_B_A_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_001_nanobody
7xqvB	8	7xqv_B_unrelaxed_rank_014_alphafold2_ptm_model_2_seed_001
7yz9B	0	7yz9_B_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
7yz9B	1	7yz9_B_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_004
7yz9B	2	7yz9_B_A_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000_nanobody
7yz9B	3	7yz9_B_unrelaxed_rank_008_alphafold2_ptm_model_2_seed_004
7yz9B	4	imbuilder_7yz9B_rank3
7yz9B	5	7yz9_B_A_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_000_nanobody
7zmvG	0	7zmv_G_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
7zmvG	1	7zmv_G_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_001
7zmvG	2	7zmv_G_unrelaxed_rank_013_alphafold2_ptm_model_4_seed_003
7zmvG	3	7zmv_G_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_001
7zmvG	4	7zmv_G_A_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001_nanobody
7zmvG	5	7zmv_G_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000_nanobody
7zmvG	6	7zmv_G_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_004_nanobody
7zmvG	7	imbuilder_7zmvG_rank3
7zmvG	8	7zmv_G_A_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_002_nanobody
7zmvG	9	7zmv_G_unrelaxed_rank_016_alphafold2_ptm_model_3_seed_003
8bb7D	0	imbuilder_8bb7D_rank0
8bb7D	1	8bb7_D_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
8bb7D	2	8bb7_D_unrelaxed_rank_021_alphafold2_ptm_model_5_seed_004
8bb7D	3	imbuilder_8bb7D_rank1
8bb7D	4	8bb7_D_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002_nanobody
8cwuB	0	8cwu_B_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_001
8cwuB	1	8cwu_B_A_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_001_nanobody
8cwuB	2	imbuilder_8cwuB_rank0
8cwuB	3	8cwu_B_A_unrelaxed_rank_021_alphafold2_multimer_v3_model_1_seed_000_nanobody
8cwuB	4	imbuilder_8cwuB_rank2
8dquB	0	8dqu_B_F_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000_nanobody
8dquB	1	8dqu_B_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000
8dquB	2	imbuilder_8dquB_rank0
8dquB	3	imbuilder_8dquB_rank2
8dtnE	0	8dtn_E_unrelaxed_rank_019_alphafold2_ptm_model_1_seed_003
8dtnE	1	8dtn_E_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_003
8dtnE	2	8dtn_E_unrelaxed_rank_014_alphafold2_ptm_model_4_seed_004
8dtnE	3	8dtn_E_F_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_004_nanobody
8dtnE	4	imbuilder_8dtnE_rank3
8dtnE	5	8dtn_E_F_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003_nanobody
8dtuA	0	8dtu_A_unrelaxed_rank_009_alphafold2_ptm_model_2_seed_004
8dtuA	1	8dtu_A_unrelaxed_rank_006_alphafold2_ptm_model_3_seed_001
8dtuA	2	8dtu_A_unrelaxed_rank_022_alphafold2_ptm_model_5_seed_002
8dtuA	3	imbuilder_8dtuA_rank3
8dtuA	4	8dtu_A_C_B_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_003_nanobody
8dtuA	5	8dtu_A_C_B_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_002_nanobody
8dtuA	6	imbuilder_8dtuA_rank2
8emzB	0	imbuilder_8emzB_rank1
8emzB	1	8emz_B_unrelaxed_rank_007_alphafold2_ptm_model_1_seed_001
8emzB	2	8emz_B_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
8emzB	3	8emz_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000_nanobody
8emzB	4	8emz_B_unrelaxed_rank_017_alphafold2_ptm_model_3_seed_001
8emzB	5	8emz_B_A_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001_nanobody
8emzB	6	8emz_B_A_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002_nanobody
8emzB	7	8emz_B_A_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_003_nanobody
8emzB	8	8emz_B_A_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_000_nanobody
8en0D	0	8en0_D_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
8en0D	1	imbuilder_8en0D_rank2
8en0D	2	imbuilder_8en0D_rank0
8en0D	3	imbuilder_8en0D_rank1
8en2D	0	8en2_D_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_004
8en2D	1	8en2_D_unrelaxed_rank_016_alphafold2_ptm_model_1_seed_002
8en2D	2	imbuilder_8en2D_rank1
8en2D	3	imbuilder_8en2D_rank3
8en2D	4	8en2_D_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001_nanobody
8en2D	5	8en2_D_unrelaxed_rank_012_alphafold2_ptm_model_1_seed_001
8en2D	6	8en2_D_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_003
8en3C	0	8en3_C_unrelaxed_rank_017_alphafold2_ptm_model_1_seed_000
8en3C	1	8en3_C_unrelaxed_rank_021_alphafold2_ptm_model_5_seed_002
8en3C	2	8en3_C_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_004
8en3C	3	8en3_C_unrelaxed_rank_013_alphafold2_ptm_model_1_seed_001
8en3C	4	8en3_C_unrelaxed_rank_024_alphafold2_ptm_model_5_seed_003
8en3C	5	8en3_C_A_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003_nanobody
8ew6V	0	imbuilder_8ew6V_rank2
8ew6V	1	8ew6_V_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_002
8ew6V	2	8ew6_V_unrelaxed_rank_009_alphafold2_ptm_model_4_seed_002
8ew6V	3	8ew6_V_W_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_004_nanobody
8ew6V	4	8ew6_V_unrelaxed_rank_006_alphafold2_ptm_model_4_seed_001
8ew6V	5	imbuilder_8ew6V_rank3
8ew6V	6	8ew6_V_W_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_001_nanobody
8ew6V	7	8ew6_V_W_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_004_nanobody
8gz5B	0	8gz5_B_A_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_001_nanobody
8gz5B	1	8gz5_B_unrelaxed_rank_010_alphafold2_ptm_model_1_seed_002
8gz5B	2	8gz5_B_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000
8gz5B	3	8gz5_B_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_001
8gz5B	4	imbuilder_8gz5B_rank1
8h3xA	0	8h3x_A_C_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_003_nanobody
8h3xA	1	8h3x_A_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
8h3xA	2	8h3x_A_C_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002_nanobody
8h3xA	3	imbuilder_8h3xA_rank1
8h3xA	4	8h3x_A_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_002
8h3xA	5	8h3x_A_C_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_001_nanobody
8h3xA	6	imbuilder_8h3xA_rank2
8h3xA	7	8h3x_A_C_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_004_nanobody
8h3xA	8	8h3x_A_unrelaxed_rank_012_alphafold2_ptm_model_3_seed_001
8h3yE	0	imbuilder_8h3yE_rank3
8h3yE	1	8h3y_E_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_003_nanobody
8h3yE	2	8h3y_E_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_003
