pdb	cluster_id	centroid_file
7unzA	8	7unz_A_D_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000_nanobody
7unzA	9	7unz_A_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_nanobody
7unzA	10	7unz_A_D_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003_nanobody
7voaA	0	7voa_A_B_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_002_nanobody
7voaA	1	imbuilder_7voaA_rank0
7voaA	2	7voa_A_B_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_003_nanobody
7voaA	3	imbuilder_7voaA_rank1
7voaA	4	imbuilder_7voaA_rank2
7voaA	5	7voa_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_002_nanobody
7voaA	6	imbuilder_7voaA_rank3
7w1sB	0	7w1s_B_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000_nanobody
7w1sB	1	imbuilder_7w1sB_rank2
7wd2D	0	7wd2_D_B_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_000_nanobody
7wd2D	1	imbuilder_7wd2D_rank0
7wd2D	2	7wd2_D_B_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_003_nanobody
7wd2D	3	imbuilder_7wd2D_rank3
7wd2D	4	7wd2_D_B_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004_nanobody
7wd2D	5	imbuilder_7wd2D_rank1
7whiG	0	7whi_G_A_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_002_nanobody
7whiG	1	imbuilder_7whiG_rank1
7wkiB	0	7wki_B_A_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_002_nanobody
7wkiB	1	imbuilder_7wkiB_rank2
7wkiB	2	7wki_B_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003_nanobody
7wkiB	3	imbuilder_7wkiB_rank1
7wkiB	4	7wki_B_A_unrelaxed_rank_016_alphafold2_multimer_v3_model_1_seed_002_nanobody
7wkiB	5	imbuilder_7wkiB_rank3
7wkiB	6	imbuilder_7wkiB_rank0
7x2jB	0	7x2j_B_S_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_002_nanobody
7x2jB	1	imbuilder_7x2jB_rank0
7x2jB	2	7x2j_B_S_unrelaxed_rank_006_alphafold2_multimer_v3_model_3_seed_004_nanobody
7x2jB	3	7x2j_B_S_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_003_nanobody
7x2jB	4	7x2j_B_S_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002_nanobody
7x2jB	5	7x2j_B_S_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_001_nanobody
7x2jB	6	imbuilder_7x2jB_rank2
7x2jB	7	7x2j_B_S_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_002_nanobody
7x2lB	0	7x2l_B_E_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_003_nanobody
7x2lB	1	7x2l_B_E_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_002_nanobody
7x2lB	2	imbuilder_7x2lB_rank0
7x2mB	0	imbuilder_7x2mB_rank3
7x2mB	1	7x2m_B_E_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002_nanobody
7x7eA	0	7x7e_A_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000_nanobody
7x7eA	1	imbuilder_7x7eA_rank3
7x7eA	2	imbuilder_7x7eA_rank2
7x7eA	3	7x7e_A_D_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_002_nanobody
7x7eA	4	imbuilder_7x7eA_rank0
7xqvB	0	imbuilder_7xqvB_rank2
7xqvB	1	imbuilder_7xqvB_rank0
7xqvB	2	7xqv_B_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003_nanobody
7xqvB	3	7xqv_B_A_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_001_nanobody
7xqvB	4	7xqv_B_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001_nanobody
7xqvB	5	7xqv_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_003_nanobody
7xqvB	6	7xqv_B_A_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_000_nanobody
7yz9B	0	imbuilder_7yz9B_rank1
7yz9B	1	7yz9_B_A_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000_nanobody
7yz9B	2	imbuilder_7yz9B_rank3
7yz9B	3	imbuilder_7yz9B_rank2
7yz9B	4	7yz9_B_A_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_000_nanobody
7zmvG	0	7zmv_G_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
7zmvG	1	7zmv_G_A_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001_nanobody
7zmvG	2	7zmv_G_A_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_002_nanobody
7zmvG	3	7zmv_G_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000_nanobody
7zmvG	4	7zmv_G_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_004_nanobody
7zmvG	5	imbuilder_7zmvG_rank3
8bb7D	0	imbuilder_8bb7D_rank0
8bb7D	1	8bb7_D_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002_nanobody
8bb7D	2	imbuilder_8bb7D_rank1
8bb7D	3	8bb7_D_B_unrelaxed_rank_020_alphafold2_multimer_v3_model_1_seed_003_nanobody
8cwuB	0	8cwu_B_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000_nanobody
8cwuB	1	imbuilder_8cwuB_rank0
8cwuB	2	8cwu_B_A_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_001_nanobody
8cwuB	3	imbuilder_8cwuB_rank2
8cwuB	4	8cwu_B_A_unrelaxed_rank_021_alphafold2_multimer_v3_model_1_seed_000_nanobody
8dquB	0	imbuilder_8dquB_rank0
8dquB	1	8dqu_B_F_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000_nanobody
8dquB	2	imbuilder_8dquB_rank2
8dtnE	0	imbuilder_8dtnE_rank0
8dtnE	1	8dtn_E_F_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003_nanobody
8dtnE	2	8dtn_E_F_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_004_nanobody
8dtnE	3	imbuilder_8dtnE_rank3
8dtuA	0	8dtu_A_C_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_001_nanobody
8dtuA	1	imbuilder_8dtuA_rank1
8dtuA	2	8dtu_A_C_B_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_002_nanobody
8dtuA	3	imbuilder_8dtuA_rank3
8dtuA	4	8dtu_A_C_B_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_003_nanobody
8dtuA	5	imbuilder_8dtuA_rank2
8emzB	0	imbuilder_8emzB_rank1
8emzB	1	8emz_B_A_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002_nanobody
8emzB	2	8emz_B_A_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_000_nanobody
8emzB	3	8emz_B_A_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001_nanobody
8emzB	4	8emz_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000_nanobody
8emzB	5	8emz_B_A_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_003_nanobody
8en0D	0	8en0_D_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_003_nanobody
8en0D	1	imbuilder_8en0D_rank2
8en0D	2	imbuilder_8en0D_rank0
8en0D	3	imbuilder_8en0D_rank1
8en2D	0	8en2_D_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001_nanobody
8en2D	1	imbuilder_8en2D_rank1
8en2D	2	8en2_D_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_001_nanobody
8en2D	3	imbuilder_8en2D_rank3
8en2D	4	8en2_D_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_002_nanobody
8en3C	0	imbuilder_8en3C_rank3
8en3C	1	8en3_C_A_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003_nanobody
8en3C	2	8en3_C_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000_nanobody
8ew6V	0	imbuilder_8ew6V_rank2
8ew6V	1	8ew6_V_W_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_004_nanobody
8ew6V	2	8ew6_V_W_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_001_nanobody
8ew6V	3	8ew6_V_W_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_003_nanobody
8ew6V	4	imbuilder_8ew6V_rank3
8ew6V	5	8ew6_V_W_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_004_nanobody
8gz5B	0	8gz5_B_A_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_001_nanobody
8gz5B	1	imbuilder_8gz5B_rank1
8h3xA	0	8h3x_A_C_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_003_nanobody
8h3xA	1	8h3x_A_C_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002_nanobody
8h3xA	2	imbuilder_8h3xA_rank1
8h3xA	3	8h3x_A_C_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_001_nanobody
8h3xA	4	8h3x_A_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
8h3xA	5	imbuilder_8h3xA_rank2
8h3xA	6	8h3x_A_C_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_004_nanobody
8h3yE	0	imbuilder_8h3yE_rank0
8h3yE	1	8h3y_E_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_003_nanobody
8h3yE	2	imbuilder_8h3yE_rank2
